marca,modelo,año,kilometros,precio
Seat,Ibiza FR,2022,"30,116km","21,950€"
Seat,Ibiza FR,2023,"24,668km","19,900€"
Seat,Ibiza FR,2021,"68,056km","24,999€"
Seat,Ibiza FR,2021,"78,890km","15,945€"
Seat,Ibiza FR,2022,"26,164km","19,935€"
Seat,Ibiza FR,2021,"61,316km","18,900€"
Seat,Ibiza FR,2021,"85,112km","17,250€"
Seat,Ibiza FR,2022,"78,419km","20,950€"
Seat,Ibiza FR,2021,"82,003km","16,700€"
Seat,Ibiza FR,2023,"49,604km","18,450€"
Seat,Ibiza FR,2022,"76,208km","20,400€"
Seat,Ibiza FR,2023,"48,000km","17,840€"
Seat,Ibiza FR,2021,"35,460km","19,750€"
Seat,Ibiza FR,2022,"39,961km","21,950€"
Seat,Ibiza FR,2023,"12,970km","17,950€"
Seat,Ibiza FR,2021,"60,052km","17,750€"
Seat,Ibiza FR,2023,"12,348km","22,950€"
Seat,Ibiza FR,2023,"14,880km","19,400€"
Seat,Ibiza FR,2023,"23,471km","21,849€"
Seat,Ibiza FR,2021,"70,924km","17,500€"
Seat,Ibiza FR,2024,10km,"27,880€"
Seat,Ibiza FR,2023,"8,376km","22,890€"
Seat,Ibiza FR,2023,"1,812km","22,975€"
Seat,Ibiza FR,2021,"66,180km","18,450€"
Seat,Ibiza FR,2021,"75,119km","19,750€"
Seat,Ibiza FR,2023,"7,020km","26,950€"
Seat,Ibiza FR,2021,"57,374km","19,950€"
Seat,Ibiza FR,2021,"47,400km","18,885€"
Seat,Ibiza FR,2022,"59,085km","18,990€"
Seat,Ibiza FR,2021,"40,797km","23,450€"
Seat,Ibiza FR,2021,"53,142km","23,995€"
Seat,Ibiza FR,2021,"46,511km","17,495€"
Seat,Ibiza FR,2021,"18,535km","27,495€"
Seat,Ibiza FR,2021,"24,393km","20,885€"
Seat,Ibiza FR,2023,"9,412km","23,850€"
Seat,Ibiza FR,2021,"33,244km","22,795€"
Seat,Ibiza FR,2023,"12,541km","23,799€"
Seat,Ibiza FR,2023,"7,075km","23,795€"
Seat,Ibiza FR,2024,"3,254km","21,950€"
Seat,Ibiza FR,2023,"12,925km","23,850€"
Seat,Ibiza FR,2021,"14,621km","19,950€"
Seat,Ibiza FR,2024,"3,060km","21,950€"
Seat,Ibiza FR,2022,"65,034km","20,948€"
Seat,Ibiza FR,2023,"1,079km","23,950€"
Seat,Ibiza FR,2021,"85,984km","17,900€"
Seat,Ibiza FR,2024,"9,023km","26,450€"
Seat,Ibiza FR,2022,"52,592km","19,450€"
Seat,Ibiza FR,2024,"6,000km","25,840€"
Seat,Ibiza FR,2021,"71,436km","22,950€"
Seat,Ibiza FR,2023,"19,768km","23,840€"
Seat,Ibiza FR,2023,"7,407km","23,895€"
Seat,Ibiza FR,2023,"30,999km","19,950€"
Seat,Ibiza FR,2023,"12,993km","24,800€"
Seat,Ibiza FR,2024,"6,901km","26,900€"
Seat,Ibiza FR,2024,"39,940km","22,950€"
Seat,Ibiza FR,2021,"33,927km","21,450€"
Seat,Ibiza FR,2024,"3,062km","23,995€"
Seat,Ibiza FR,2024,"20,896km","29,900€"
Seat,Ibiza FR,2022,"65,133km","21,450€"
Seat,Ibiza FR,2021,"100,850km","18,450€"
Seat,Ibiza FR,2023,"10,210km","24,800€"
Seat,Ibiza FR,2021,"41,504km","19,890€"
Seat,Ibiza FR,2022,"34,609km","19,900€"
Renault,Clio Espirit Alpine,2024,"6,500km","28,950€"
Renault,Clio Espirit Alpine,2023,"5,232km","22,995€"
Renault,Clio Espirit Alpine,2023,"17,415km","23,400€"
Renault,Clio Espirit Alpine,2023,"21,802km","24,400€"
Renault,Clio Espirit Alpine,2023,"11,665km","22,995€"
Renault,Clio Espirit Alpine,2024,"9,912km","26,895€"
Renault,Clio Espirit Alpine,2024,"26,000km","25,950€"
Renault,Clio Espirit Alpine,2024,"7,500km","26,950€"
Renault,Clio Espirit Alpine,2024,"16,624km","26,390€"
Renault,Clio Espirit Alpine,2024,"7,553km","23,995€"
Renault,Clio Espirit Alpine,2024,"12,800km","26,880€"
Renault,Clio Espirit Alpine,2023,"9,502km","23,400€"
Renault,Clio Espirit Alpine,2024,45km,"29,665€"
Renault,Clio Espirit Alpine,2024,"1,934km","32,945€"
Renault,Clio Espirit Alpine,2024,"5,890km","28,440€"
Renault,Clio Espirit Alpine,2024,"4,221km","26,750€"
Renault,Clio Espirit Alpine,2024,"17,907km","27,450€"
Renault,Clio Espirit Alpine,2023,"13,604km","24,900€"
Renault,Clio Espirit Alpine,2024,"9,000km","28,930€"
Renault,Clio Espirit Alpine,2023,"12,082km","23,900€"
Renault,Clio Espirit Alpine,2024,"13,110km","27,450€"
Renault,Clio Espirit Alpine,2024,15km,"29,845€"
Renault,Clio Espirit Alpine,2024,55km,"27,885€"
Renault,Clio Espirit Alpine,2024,10km,"25,950€"
Renault,Clio Espirit Alpine,2024,548km,"25,490€"
Renault,Clio Espirit Alpine,2024,"10,356km","23,995€"
Renault,Clio Espirit Alpine,2024,"8,058km","24,950€"
Renault,Clio Espirit Alpine,2024,"1,945km","32,399€"
Renault,Clio Espirit Alpine,2024,"28,813km","27,450€"
Renault,Clio Espirit Alpine,2023,"12,547km","24,350€"
Renault,Clio Espirit Alpine,2024,"18,459km","23,995€"
Renault,Clio Espirit Alpine,2023,"13,402km","23,900€"
Renault,Clio Espirit Alpine,2024,"22,225km","23,445€"
Renault,Clio Espirit Alpine,2024,15km,"29,845€"
Renault,Clio Espirit Alpine,2024,"8,950km","26,900€"
Renault,Clio Espirit Alpine,2024,1km,"28,513€"
Renault,Clio Espirit Alpine,2024,"9,950km","29,760€"
Renault,Clio Espirit Alpine,2024,"14,252km","24,900€"
Renault,Clio Espirit Alpine,2024,"29,074km","27,450€"
Renault,Clio Espirit Alpine,2024,"17,283km","23,995€"
Renault,Clio Espirit Alpine,2023,"16,395km","23,900€"
Renault,Clio Espirit Alpine,2024,"10,159km","23,995€"
Renault,Clio Espirit Alpine,2024,"32,732km","27,440€"
Renault,Clio Espirit Alpine,2023,"17,912km","23,400€"
Renault,Clio Espirit Alpine,2024,"2,500km","31,840€"
Renault,Clio Espirit Alpine,2023,"24,581km","23,900€"
Renault,Clio Espirit Alpine,2023,"13,786km","23,900€"
Renault,Clio Espirit Alpine,2024,"2,200km","30,940€"
Renault,Clio Espirit Alpine,2024,"25,552km","23,995€"
Renault,Clio Espirit Alpine,2024,"11,232km","28,900€"
Renault,Clio Espirit Alpine,2024,10km,"29,435€"
Renault,Clio Espirit Alpine,2023,"22,188km","23,900€"
Renault,Clio Espirit Alpine,2024,"30,394km","27,450€"
Renault,Clio Espirit Alpine,2024,45km,"29,265€"
Renault,Clio Espirit Alpine,2024,46km,"30,365€"
Renault,Clio Espirit Alpine,2023,"15,575km","23,900€"
Renault,Clio Espirit Alpine,2024,45km,"28,265€"
Renault,Clio Espirit Alpine,2024,"1,850km","27,490€"
Renault,Clio Espirit Alpine,2023,"18,765km","23,400€"
Renault,Clio Espirit Alpine,2023,"11,485km","23,900€"
Renault,Clio Espirit Alpine,2024,"11,830km","23,995€"
Renault,Clio Espirit Alpine,2023,"28,637km","23,900€"
Renault,Clio Espirit Alpine,2023,"13,915km","24,400€"
Renault,Clio Espirit Alpine,2023,"21,161km","23,900€"
Renault,Clio Espirit Alpine,2024,1km,"29,368€"
Renault,Clio Espirit Alpine,2023,"9,210km","23,400€"
Renault,Clio Espirit Alpine,2024,45km,"28,265€"
Renault,Clio Espirit Alpine,2023,"7,248km","24,400€"
Renault,Clio Espirit Alpine,2023,"9,534km","23,900€"
Renault,Clio Espirit Alpine,2024,"1,560km","28,490€"
Renault,Clio Espirit Alpine,2024,"34,598km","27,450€"
Renault,Clio Espirit Alpine,2024,"33,613km","27,450€"
Renault,Clio Espirit Alpine,2024,"3,000km","28,940€"
Renault,Clio Espirit Alpine,2024,10km,"28,759€"
Renault,Clio Espirit Alpine,2023,"33,185km","23,400€"
Renault,Clio Espirit Alpine,2024,10km,"29,994€"
Renault,Clio Espirit Alpine,2023,"22,451km","23,400€"
Renault,Clio Espirit Alpine,2024,"17,251km","23,950€"
Renault,Clio Espirit Alpine,2024,"15,000km","31,940€"
Renault,Clio Espirit Alpine,2023,"27,869km","23,400€"
Hyundai,i20 N-line,2021,"41,686km","19,450€"
Hyundai,i20 N-line,2023,"34,000km","19,999€"
Hyundai,i20 N-line,2022,"50,801km","19,625€"
Hyundai,i20 N-line,2023,"26,929km","21,900€"
Hyundai,i20 N-line,2022,"46,372km","21,425€"
Hyundai,i20 N-line,2023,"45,654km","21,925€"
Hyundai,i20 N-line,2023,"11,671km","25,930€"
Hyundai,i20 N-line,2023,"22,385km","23,930€"
Hyundai,i20 N-line,2022,"42,000km","22,900€"
Hyundai,i20 N-line,2022,"40,300km","21,950€"
Hyundai,i20 N-line,2023,"22,288km","25,925€"
Hyundai,i20 N-line,2023,"35,461km","24,930€"
Hyundai,i20 N-line,2024,"31,359km","24,440€"
Hyundai,i20 N-line,2023,"24,119km","25,725€"
Hyundai,i20 N-line,2022,"26,847km","19,149€"
Hyundai,i20 N-line,2022,"47,029km","21,950€"
Hyundai,i20 N-line,2023,"4,796km","27,250€"
Hyundai,i20 N-line,2023,"12,458km","22,930€"
Hyundai,i20 N-line,2023,"20,843km","19,900€"
Hyundai,i20 N-line,2023,"12,885km","21,435€"
Hyundai,i20 N-line,2023,"23,000km","20,935€"
Hyundai,i20 N-line,2024,"9,900km","25,400€"
Toyota,Yaris GR-Sport,2022,"11,202km","16,900€"
Toyota,Yaris GR-Sport,2021,"39,930km","18,200€"
Toyota,Yaris GR-Sport,2022,"39,872km","19,700€"
Toyota,Yaris GR-Sport,2021,"99,149km","18,950€"
Toyota,Yaris GR-Sport,2024,"3,000km","25,750€"
Toyota,Yaris GR-Sport,2022,"32,517km","24,945€"
Toyota,Yaris GR-Sport,2024,"4,225km","24,400€"
Toyota,Yaris GR-Sport,2021,"20,586km","16,750€"
Toyota,Yaris GR-Sport,2023,"9,340km","21,900€"
Toyota,Yaris GR-Sport,2023,"9,049km","24,995€"
Toyota,Yaris GR-Sport,2021,"53,193km","18,149€"
Toyota,Yaris GR-Sport,2022,"21,622km","17,950€"
Toyota,Yaris GR-Sport,2022,"30,966km","21,940€"
Toyota,Yaris GR-Sport,2023,"13,012km","22,950€"
Toyota,Yaris GR-Sport,2023,"20,099km","21,400€"
Toyota,Yaris GR-Sport,2023,19km,"24,400€"
Toyota,Yaris GR-Sport,2022,"32,284km","21,940€"
Toyota,Yaris GR-Sport,2023,"26,333km","19,995€"
Toyota,Yaris GR-Sport,2024,827km,"24,245€"
Toyota,Yaris GR-Sport,2022,"16,906km","22,400€"
Toyota,Yaris GR-Sport,2023,"18,049km","20,445€"
Toyota,Yaris GR-Sport,2023,"19,993km","20,445€"
Toyota,Yaris GR-Sport,2023,5km,"72,535€"
Toyota,Yaris GR-Sport,2022,"9,500km","17,000€"
Toyota,Yaris GR-Sport,2024,"5,032km","22,740€"
Toyota,Yaris GR-Sport,2021,"17,437km","24,900€"
Toyota,Yaris GR-Sport,2022,"32,490km","18,600€"
Toyota,Yaris GR-Sport,2022,"14,696km","22,999€"
Toyota,Yaris GR-Sport,2021,"64,000km","19,500€"
Toyota,Yaris GR-Sport,2021,"25,092km","17,750€"
Toyota,Yaris GR-Sport,2022,"7,205km","24,750€"
Toyota,Yaris GR-Sport,2021,"42,263km","16,950€"
Toyota,Yaris GR-Sport,2021,"83,988km","17,990€"
Toyota,Yaris GR-Sport,2022,"54,138km","18,900€"
Toyota,Yaris GR-Sport,2021,"104,333km","18,845€"
Toyota,Yaris GR-Sport,2021,"33,252km","22,745€"
Toyota,Yaris GR-Sport,2023,"8,861km","19,995€"
Toyota,Yaris GR-Sport,2021,"49,696km","19,950€"
Toyota,Yaris GR-Sport,2021,"29,789km","19,845€"
Toyota,Yaris GR-Sport,2022,"35,596km","19,745€"
Toyota,Yaris GR-Sport,2023,"18,049km","20,445€"
Toyota,Yaris GR-Sport,2023,"19,993km","20,445€"
Toyota,Yaris GR-Sport,2023,5km,"72,535€"
Toyota,Yaris GR-Sport,2022,"9,500km","17,000€"
Toyota,Yaris GR-Sport,2024,"5,032km","22,740€"
Toyota,Yaris GR-Sport,2021,"17,437km","24,900€"
Toyota,Yaris GR-Sport,2022,"32,490km","18,600€"
Toyota,Yaris GR-Sport,2022,"14,696km","22,999€"
Toyota,Yaris GR-Sport,2021,"64,000km","19,500€"
Toyota,Yaris GR-Sport,2021,"25,092km","17,750€"
Toyota,Yaris GR-Sport,2022,"7,205km","24,750€"
Toyota,Yaris GR-Sport,2021,"42,263km","16,950€"
Toyota,Yaris GR-Sport,2021,"83,988km","17,990€"
Toyota,Yaris GR-Sport,2022,"54,138km","18,900€"
Toyota,Yaris GR-Sport,2021,"104,333km","18,845€"
Toyota,Yaris GR-Sport,2021,"33,252km","22,745€"
Toyota,Yaris GR-Sport,2023,"8,861km","19,995€"
Toyota,Yaris GR-Sport,2021,"49,696km","19,950€"
Toyota,Yaris GR-Sport,2021,"29,789km","19,845€"
Toyota,Yaris GR-Sport,2022,"35,596km","19,745€"
Toyota,Yaris GR-Sport,2023,"18,049km","20,445€"
Toyota,Yaris GR-Sport,2023,"19,993km","20,445€"
Toyota,Yaris GR-Sport,2023,5km,"72,535€"
Toyota,Yaris GR-Sport,2022,"9,500km","17,000€"
Toyota,Yaris GR-Sport,2024,"5,032km","22,740€"
Toyota,Yaris GR-Sport,2021,"17,437km","24,900€"
Toyota,Yaris GR-Sport,2022,"32,490km","18,600€"
Toyota,Yaris GR-Sport,2022,"14,696km","22,999€"
Toyota,Yaris GR-Sport,2021,"64,000km","19,500€"
Toyota,Yaris GR-Sport,2021,"25,092km","17,750€"
Toyota,Yaris GR-Sport,2022,"7,205km","24,750€"
Toyota,Yaris GR-Sport,2021,"42,263km","16,950€"
Toyota,Yaris GR-Sport,2021,"83,988km","17,990€"
Toyota,Yaris GR-Sport,2022,"54,138km","18,900€"
Toyota,Yaris GR-Sport,2021,"104,333km","18,845€"
Toyota,Yaris GR-Sport,2021,"33,252km","22,745€"
Toyota,Yaris GR-Sport,2023,"8,861km","19,995€"
Toyota,Yaris GR-Sport,2021,"49,696km","19,950€"
Toyota,Yaris GR-Sport,2021,"29,789km","19,845€"
Toyota,Yaris GR-Sport,2022,"35,596km","19,745€"
Volskwagen,Polo R-line,2021,"81,032km","22,950€"
Volskwagen,Polo R-line,2023,"9,641km","29,945€"
Volskwagen,Polo R-line,2021,"78,338km","18,000€"
Volskwagen,Polo R-line,2021,"102,976km","15,900€"
Volskwagen,Polo R-line,2024,50km,"27,950€"
Volskwagen,Polo R-line,2021,"111,015km","18,950€"
Volskwagen,Polo R-line,2021,"40,468km","23,850€"
Volskwagen,Polo R-line,2021,"51,250km","18,445€"
Volskwagen,Polo R-line,2021,"95,342km","17,945€"
Volskwagen,Polo R-line,2022,"41,988km","24,945€"
Volskwagen,Polo R-line,2023,"12,554km","27,750€"
Volskwagen,Polo R-line,2023,"26,635km","26,495€"
Volskwagen,Polo R-line,2022,"32,800km","26,900€"
Volskwagen,Polo R-line,2024,"3,650km","27,749€"
Volskwagen,Polo R-line,2023,"3,894km","26,995€"
Volskwagen,Polo R-line,2024,"13,287km","26,445€"
Volskwagen,Polo R-line,2024,"1,100km","30,499€"
Volskwagen,Polo R-line,2021,"56,900km","14,991€"
Volskwagen,Polo R-line,2023,"10,346km","17,999€"
Volskwagen,Polo R-line,2021,"94,578km","17,345€"
Volskwagen,Polo R-line,2021,"42,280km","16,250€"
Volskwagen,Polo R-line,2023,"11,980km","23,995€"
Volskwagen,Polo R-line,2021,"74,408km","21,940€"
Volskwagen,Polo R-line,2021,"73,558km","15,699€"
Volskwagen,Polo R-line,2022,"56,000km","18,750€"
Volskwagen,Polo R-line,2021,"97,893km","19,900€"
Volskwagen,Polo R-line,2023,"15,560km","28,500€"
Volskwagen,Polo R-line,2022,"92,045km","22,950€"
Volskwagen,Polo R-line,2022,"8,453km","22,950€"
Volskwagen,Polo R-line,2021,"57,487km","21,900€"
Volskwagen,Polo R-line,2021,"30,911km","17,950€"
Volskwagen,Polo R-line,2022,"15,688km","24,400€"
Volskwagen,Polo R-line,2021,"92,779km","16,950€"
Volskwagen,Polo R-line,2021,"34,389km","23,495€"
Volskwagen,Polo R-line,2021,"63,495km","18,450€"
Volskwagen,Polo R-line,2022,"20,000km","21,950€"
Volskwagen,Polo R-line,2021,"49,188km","25,950€"
Volskwagen,Polo R-line,2021,"59,814km","19,850€"
Volskwagen,Polo R-line,2021,"84,262km","17,499€"
Volskwagen,Polo R-line,2021,"69,612km","21,950€"
Volskwagen,Polo R-line,2021,"42,280km","16,250€"
Volskwagen,Polo R-line,2023,"11,980km","23,995€"
Volskwagen,Polo R-line,2021,"74,408km","21,940€"
Volskwagen,Polo R-line,2021,"73,558km","15,699€"
Volskwagen,Polo R-line,2022,"56,000km","18,750€"
Volskwagen,Polo R-line,2021,"97,893km","19,900€"
Volskwagen,Polo R-line,2023,"15,560km","28,500€"
Volskwagen,Polo R-line,2022,"92,045km","22,950€"
Volskwagen,Polo R-line,2022,"8,453km","22,950€"
Volskwagen,Polo R-line,2021,"57,487km","21,900€"
Volskwagen,Polo R-line,2021,"30,911km","17,950€"
Volskwagen,Polo R-line,2022,"15,688km","24,400€"
Volskwagen,Polo R-line,2021,"92,779km","16,950€"
Volskwagen,Polo R-line,2021,"34,389km","23,495€"
Volskwagen,Polo R-line,2021,"63,495km","18,450€"
Volskwagen,Polo R-line,2022,"20,000km","21,950€"
Volskwagen,Polo R-line,2021,"49,188km","25,950€"
Volskwagen,Polo R-line,2021,"59,814km","19,850€"
Volskwagen,Polo R-line,2021,"84,262km","17,499€"
Volskwagen,Polo R-line,2021,"69,612km","21,950€"
Volskwagen,Polo R-line,2021,"42,280km","16,250€"
Volskwagen,Polo R-line,2023,"11,980km","23,995€"
Volskwagen,Polo R-line,2021,"74,408km","21,940€"
Volskwagen,Polo R-line,2021,"73,558km","15,699€"
Volskwagen,Polo R-line,2022,"56,000km","18,750€"
Volskwagen,Polo R-line,2021,"97,893km","19,900€"
Volskwagen,Polo R-line,2023,"15,560km","28,500€"
Volskwagen,Polo R-line,2022,"92,045km","22,950€"
Volskwagen,Polo R-line,2022,"8,453km","22,950€"
Volskwagen,Polo R-line,2021,"57,487km","21,900€"
Volskwagen,Polo R-line,2021,"30,911km","17,950€"
Volskwagen,Polo R-line,2022,"15,688km","24,400€"
Volskwagen,Polo R-line,2021,"92,779km","16,950€"
Volskwagen,Polo R-line,2021,"34,389km","23,495€"
Volskwagen,Polo R-line,2021,"63,495km","18,450€"
Volskwagen,Polo R-line,2022,"20,000km","21,950€"
Volskwagen,Polo R-line,2021,"49,188km","25,950€"
Volskwagen,Polo R-line,2021,"59,814km","19,850€"
Volskwagen,Polo R-line,2021,"84,262km","17,499€"
Volskwagen,Polo R-line,2021,"69,612km","21,950€"
